排 名,山 峰,高 度（单位米）,山 脉,地 区,主 峰,首次登峰,登峰次数（尝试次数）,经度,纬度
1,珠穆朗瑪峰,8848.86,马哈兰格·喜玛尔 喜马拉雅,尼泊尔／中国,无,1953,145（121）,86.92528,27.98806
2,乔戈里峰（K2峰）,8611,巴尔托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,无,1954,45（44）,76.51333,35.8825
3,干城章嘉峰,8586,干城章嘉喜马拉雅,尼泊尔／印度,珠穆朗瑪峰,1955,38（24）,88.14694,27.7025
4,洛子峰,8516,马哈兰格·喜玛尔 喜马拉雅,尼泊尔／中国,珠穆朗瑪峰,1956,26（26）,86.93306,27.96167
5,马卡鲁峰,8485,马哈兰格·喜玛尔 喜马拉雅,尼泊尔／中国,珠穆朗瑪峰（洛子峰）,1955,45（52）,87.08861,27.88917
6,卓奥友峰,8188,马哈兰格·喜玛尔 喜马拉雅,尼泊尔／中国,珠穆朗瑪峰,1954,79（28）,86.66083,28.09417
7,道拉吉里峰,8167,道拉吉里峰喜马拉雅,尼泊尔,珠穆朗瑪峰,1960,51（39）,83.49333,28.69583
8,马纳斯卢峰,8163,马纳斯卢喜马拉雅,尼泊尔,卓奥友峰,1956,49（45）,84.56083,28.54944
9,南迦帕尔巴特峰,8125,南迦帕尔巴特喜马拉雅,巴基斯坦,道拉吉里峰,1953,52（67）,74.58944,35.23833
10,安纳布尔纳峰,8091,安纳布尔纳喜马拉雅,尼泊尔,卓奥友峰,1950,36（47）,83.81972,28.59528
11,加舒尔布鲁木I峰,8080,巴尔托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,乔戈里峰,1958,31（16）,76.69556,35.72417
12,布洛阿特峰,8051,巴尔托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,加舒尔布鲁木I峰,1957,39（19）,76.56806,35.81056
13,加舒尔布鲁木II峰,8034,巴尔托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,加舒尔布鲁木I峰,1956,54（12）,76.65306,35.7575
14,希夏邦马峰,8027,Langtang 喜马拉雅,中国,卓奥友峰,1964,43（19）,85.77861,28.35333
15,格重康峰,7952,马哈兰格·喜玛尔 喜马拉雅,尼泊尔／中国,卓奥友峰,1964,5（3）,86.74639,28.09778
,加舒尔布鲁木III峰,7946,巴尔托洛慕士塔格山 喀喇昆仑,喀什米尔（巴基斯坦）,加舒尔布鲁木II峰,1975,2（2）,76.64194,35.75944
16,安纳普那II峰,7937,安纳普那喜马拉雅,尼泊尔,安纳普那I峰,1960,6（19）,84.12222,28.53417
17,加舒尔布鲁木IV峰,7932,巴尔托洛慕士塔格山 喀喇昆仑,喀什米尔（巴基斯坦）,加舒尔布鲁木III峰,1958,4（11）,76.61583,35.75917
18,喜马尔佐利山,7893,马拉斯鹿喜马拉雅,尼泊尔,马纳斯卢峰,1960,6（12）,84.64,28.43528
19,迪斯特吉峰,7884,希斯帕慕士塔格山脉 喀喇昆仑,喀什米尔（巴基斯坦）,乔戈里峰,1960,3（5）,75.18833,36.32583
20,雅迪楚里峰,7871,马拉斯鹿喜马拉雅,尼泊尔,马纳斯卢峰,1970,2（6）,84.5675,28.50333
,努子峰,7864,马哈兰格·喜玛尔 喜马拉雅,尼泊尔,洛子峰,1961,5（12）,86.88611,27.96722
21,昆扬基什峰,7823,希斯帕慕士塔格山脉 喀喇昆仑,喀什米尔（巴基斯坦）,迪斯特吉峰,1971,2（6）,75.20778,36.20528
